iter	Passed	Remaining
0	112	112485
1	114	56940
2	114	38205
3	115	28817
4	117	23316
5	117	19518
6	118	16817
7	119	14783
8	119	13212
9	120	11955
10	121	10935
11	122	10092
12	123	9362
13	124	8733
14	124	8194
15	125	7727
16	126	7335
17	127	6974
18	128	6641
19	129	6356
20	130	6075
21	130	5820
22	131	5587
23	132	5375
24	132	5181
25	133	4999
26	134	4830
27	134	4673
28	135	4528
29	135	4390
30	136	4263
31	137	4151
32	138	4055
33	139	3957
34	140	3861
35	140	3770
36	141	3688
37	142	3601
38	142	3518
39	143	3441
40	143	3367
41	144	3298
42	145	3232
43	145	3167
44	146	3106
45	146	3047
46	147	2990
47	148	2936
48	149	2900
49	150	2854
50	150	2806
51	151	2768
52	152	2726
53	153	2683
54	153	2642
55	154	2602
56	154	2563
57	155	2526
58	156	2490
59	156	2454
60	157	2419
61	157	2386
62	158	2354
63	158	2323
64	159	2293
65	160	2267
66	161	2253
67	162	2230
68	163	2206
69	164	2186
70	165	2162
71	165	2137
72	166	2113
73	167	2090
74	167	2067
75	168	2045
76	169	2026
77	169	2005
78	170	1984
79	170	1966
80	171	1948
81	173	1940
82	173	1922
83	174	1907
84	175	1891
85	176	1878
86	177	1862
87	178	1845
88	178	1829
89	179	1816
90	180	1800
91	180	1784
92	181	1769
93	181	1753
94	182	1740
95	184	1734
96	185	1729
97	186	1715
98	187	1703
99	188	1692
100	189	1682
101	190	1672
102	190	1662
103	191	1651
104	192	1642
105	193	1632
106	195	1627
107	196	1623
108	197	1613
109	198	1602
110	198	1593
111	199	1583
112	200	1572
113	200	1561
114	201	1550
115	202	1540
116	202	1528
117	203	1518
118	203	1508
119	204	1498
120	205	1491
121	206	1484
122	207	1481
123	208	1473
124	209	1464
125	210	1458
126	211	1450
127	211	1443
128	212	1435
129	213	1428
130	214	1420
131	214	1412
132	215	1404
133	216	1397
134	217	1392
135	219	1391
136	220	1386
137	221	1380
138	221	1373
139	222	1366
140	223	1359
141	223	1350
142	224	1343
143	224	1336
144	225	1328
145	225	1321
146	226	1313
147	227	1307
148	227	1301
149	228	1297
150	229	1292
151	230	1285
152	231	1278
153	231	1272
154	232	1266
155	232	1259
156	233	1253
157	234	1247
158	234	1241
159	235	1234
160	235	1227
161	236	1221
162	236	1215
163	237	1209
164	237	1203
165	238	1197
166	239	1193
167	240	1188
168	241	1185
169	241	1180
170	242	1175
171	242	1169
172	243	1164
173	244	1159
174	244	1153
175	245	1149
176	245	1143
177	246	1138
178	247	1133
179	247	1128
180	248	1123
181	248	1118
182	249	1113
183	249	1108
184	250	1103
185	251	1099
186	252	1097
187	253	1093
188	253	1088
189	254	1084
190	254	1079
191	255	1074
192	255	1070
193	256	1065
194	257	1061
